"","run_label","cell_id","Cell.type","updated_ids","GSM_id","expr_ids"
"1","A1","C1","T1","cell1","GSM1820366","Run291_L7_A01"
"2","A4","C21","T1","cell21","GSM1820368","Run291_L7_A03"
"3","A5","C30","T1","cell30","GSM1820369","Run291_L7_A04"
"4","A6","C34 ","T1","cell34","GSM1820400","Run291_L7_E04"
"5","A7","C44","T1","cell44","GSM1820401","Run291_L7_E09"
"6","A11","C68 ","T1","cell68","GSM1820409","Run291_L7_F12"
"7","A1","C4","T2","cell4","GSM1820383","Run291_L7_C01"
"8","A4","C20","T2","cell20","GSM1820410","Run291_L7_G02"
"9","A4","C22","T2","cell22","GSM1820377","Run291_L7_B03"
"10","A4","C23","T2","cell23","GSM1820385","Run291_L7_C03"
"11","A4","C24","T2","cell24","GSM1820392","Run291_L7_D03"
"12","A7","C40","T2","cell40","GSM1820380","Run291_L7_B09"
"13","A8","C45","T2","cell45","GSM1820407","Run291_L7_F09"
"14","A9","C54","T2","cell54","GSM1820373","Run291_L7_A11"
"15","A11","C65","T2","cell65",NA,NA
"16","A2","C10","T3","cell10","GSM1820404","Run291_L7_F01"
"17","A2","C12","T3","cell12","GSM1820367","Run291_L7_A02"
"18","A2","C13","T3","cell13","GSM1820376","Run291_L7_B02"
"19","A5","C25","T3","cell25","GSM1820399","Run291_L7_E03"
"20","A6","C33","T3","cell33","GSM1820393","Run291_L7_D04"
"21","A11","C61","T3","cell61","GSM1820374","Run291_L7_A12"
"22","A1","C2","T4","cell2","GSM1820375","Run291_L7_B01"
"23","A2","C14","T4","cell14","GSM1820384","Run291_L7_C02"
"24","A3","C19","T4","cell19","GSM1820405","Run291_L7_F02"
"25","A6","C31","T4","cell31","GSM1820378","Run291_L7_B04"
"26","A6","C32","T4","cell32","GSM1820386","Run291_L7_C04"
"27","A6","C35","T4","cell35",NA,NA
"28","A7","C39","T4","cell39","GSM1820371","Run291_L7_A09"
"29","A8","C46","T4","cell46","GSM1820413","Run291_L7_G09"
"30","A11","C63","T4","cell63","GSM1820382","Run291_L7_B12"
"31","A5","C26","T5","cell26","GSM1820406","Run291_L7_F03"
"32","A5","C29","T5","cell29","GSM1820411","Run291_L7_G03"
"33","A6","C36","T5","cell36","GSM1820412","Run291_L7_G04"
"34","A7","C41","T5","cell41","GSM1820388","Run291_L7_C09"
"35","A7","C42","T5","cell42","GSM1820395","Run291_L7_D09"
"36","A8","C47","T5","cell47","GSM1820372","Run291_L7_A10"
"37","A8","C48","T5","cell48","GSM1820381","Run291_L7_B10"
"38","A9","C49","T5","cell49","GSM1820389","Run291_L7_C10"
"39","A9","C50","T5","cell50","GSM1820396","Run291_L7_D10"
"40","A9","C53","T5","cell53","GSM1820414","Run291_L7_G10"
"41","A10","C56","T5","cell56","GSM1820390","Run291_L7_C11"
"42","A10","C57","T5","cell57","GSM1820397","Run291_L7_D11"
"43","A10","C58","T5","cell58","GSM1820403","Run291_L7_E11"
"44","A10","C59","T5","cell59","GSM1820408","Run291_L7_F11"
"45","A10","C60","T5","cell60","GSM1820415","Run291_L7_G11"
"46","A12","C70","L2","cell70","GSM1820437","Run297_L6_H01"
"47","A12","C74","L2","cell74","GSM1820426","Run297_L6_D01"
"48","A13","C77","L2","cell77","GSM1820416","Run297_L6_A01"
"49","A14","C88","L2","cell88","GSM1820433","Run297_L6_F03"
"50","A15","C93","L2","cell93","GSM1820417","Run297_L6_A03"
"51","A16","C100","L2","cell100","GSM1820422","Run297_L6_B04"
"52","A16","C106","L2","cell106","GSM1820428","Run297_L6_D05"
"53","20","C9_20","L2","cell9_20","GSM1820363","Run283_L4_E05"
"54","A1","C5","L2","cell5","GSM1820391","Run291_L7_D01"
"55","A12","C72","L4","cell72","GSM1820432","Run297_L6_F01"
"56","A12","C73","L4","cell73","GSM1820429","Run297_L6_E01"
"57","A13","C76","L4","cell76","GSM1820420","Run297_L6_B01"
"58","A13","C81","L4","cell81","GSM1820430","Run297_L6_E02"
"59","A16","C101","L4","cell101","GSM1820418","Run297_L6_A04"
"60","A16","C104","L4","cell104","GSM1820434","Run297_L6_F05"
"61","A12","C71","L5","cell71","GSM1820435","Run297_L6_G01"
"62","A13","C83","L5","cell83","GSM1820424","Run297_L6_C02"
"63","A13","C86","L5","cell86","GSM1820438","Run297_L6_H03"
"64","A15","C97","L5","cell97","GSM1820431","Run297_L6_E04"
"65","A15","C98","L5","cell98","GSM1820427","Run297_L6_D04"
"66","A16","C102","L5","cell102","GSM1820439","Run297_L6_H05"
"67","A16","C103","L5","cell103","GSM1820436","Run297_L6_G05"
"68","A16","C109","L5","cell109","GSM1820419","Run297_L6_A05"
"69","A3","C17a","L5","cell17a","GSM1820370","Run291_L7_A06"
"70","A3","C20a","L5","cell20a","GSM1820379","Run291_L7_B06"
"71","A4","C21a","L5","cell21a","GSM1820387","Run291_L7_C06"
"72","A4","C22a","L5","cell22a","GSM1820394","Run291_L7_D06"
"73","11","C1_11","L5","cell1_11","GSM1820357","Run283_L4_A03"
"74","11","C3_11","L5","cell3_11","GSM1820359","Run283_L4_C03"
"75","11","C4_11","L5","cell4_11","GSM1820361","Run283_L4_D03"
"76","11","C5_11","L5","cell5_11","GSM1820362","Run283_L4_E03"
"77","11","C7_11","L5","cell7_11","GSM1820364","Run283_L4_F03"
"78","11","C8_11","L5","cell8_11","GSM1820365","Run283_L4_G04"
"79","A16","C110","L5","cell110","GSM1820425","Run297_L6_C06"
"80","A16","C111","L5","cell111","GSM1820423","Run297_L6_B06"
"81","A15","C92","L5","cell92","GSM1820421","Run297_L6_B03"
"82","","C12a","L5","cell12a","GSM1820360","Run283_L4_D02"
