Number	Cell	Slice	Date	Sample	Mouse	Mouse date of birth	Mouse age	Targeted layer	Cre	Number of genes detected	RNA family	RNA type	RNA type confidence	RNA type top-3	ALM/VISp top-3	Length (bp)	Yield (pg/µl)	User	Hold Time (min)	Soma depth (µm)	Soma depth (4x)	Cortical thickness (4x)	Cortical thickness (µm)	Traced	Exclusion reasons
1	20171204_sample_2	20171204_slice_2	2017-12-04	sample 2	mouse_GTOKH	2017-10-29	36	5	PV-	10090	PT	L5 PT_1	0.92	L5 PT_1 (91.9%), L5 PT_2 (2.1%), L6 CT Grp (1.9%)	L5 PT ALM Slco2a1 (94.0%), L5 PT VISp Krt80 (6.0%)	1955	95.19	Fede	8	736.7	271	535.8	1478.808	y	
2	20171204_sample_4	20171204_slice_4	2017-12-04	sample 4	mouse_GTOKH	2017-10-29	36	5	PV-	10882	IT	L5 IT_2	0.38	L5 IT_2 (38.4%), L5 IT_4 (13.7%), L6 IT_2 (12.7%)	L6 IT VISp Penk Fst (29.0%), L5 IT VISp Col6a1 Fezf2 (26.0%), L5 IT VISp Col27a1 (14.0%)	1887	80.22	Fede	9	726.2	285.7	545.9	1506.684	y	
3	20171204_sample_5	20171204_slice_5	2017-12-04	sample 5	mouse_GTOKH	2017-10-29	36	5	PV-	14950	IT	L5 IT_1	0.95	L5 IT_1 (94.6%), L5 PT_2 (2.0%)	L5 IT ALM Gkn1 Pcdh19 (47.0%), L5 IT ALM Cpa6 Gpr88 (45.0%), L5 IT ALM Cbln4 Fezf2 (5.0%)	1869	439.16	Fede	8	659.8	241.8	530.4	1463.904	y	
4	20171204_sample_6	20171204_slice_6	2017-12-04	sample 6	mouse_GTOKH	2017-10-29	36	5	PV-	10688	PT	L5 PT_4	0.96	L5 PT_4 (96.1%)	L5 PT ALM Npsr1 (99.0%)	1999	211.71	Fede	8	571.7	210	501.1	1383.036	y	
5	20171207_sample_1	20171207_slice_1	2017-12-07	sample 1	mouse_UGZSW	2017-09-18	80	5	SST-	16310	PT	L5 PT_1	0.94	L5 PT_1 (93.9%), L5 PT_4 (4.0%)	L5 PT ALM Slco2a1 (82.0%), L5 PT VISp Krt80 (17.0%)	1884	986.46	Fede	10	772.4	288.9	477.1	1316.796	y	
6	20171207_sample_2	20171207_slice_2	2017-12-07	sample 2	mouse_UGZSW	2017-09-18	80	5	SST-	18118	PT	L5 PT_1	0.89	L5 PT_1 (89.1%), L5 PT_4 (5.3%), L5 PT_2 (4.7%)	L5 PT ALM Slco2a1 (90.0%), L5 PT VISp Krt80 (6.0%)	1929	1067.33	Fede	9	619.7	190.2	490.5	1353.78	y	
7	20171207_sample_6	20171207_slice_6	2017-12-07	sample 6	mouse_UGZSW	2017-09-18	80	5	SST-	13097	IT	L5 IT_1	0.89	L5 IT_1 (89.1%), L5 IT_2 (4.3%), L5 PT_1 (2.9%)	L5 IT VISp Batf3 (51.0%), L5 IT ALM Cpa6 Gpr88 (36.0%), L5 IT ALM Gkn1 Pcdh19 (7.0%)	2250	356.56	Fede	11	798.6	289.6	550.8	1520.208	y	
8	20171207_sample_7	20171207_slice_7	2017-12-07	sample 7	mouse_UGZSW	2017-09-18	80	5	SST-	15527	IT	L5 IT_1	0.45	L5 IT_1 (45.4%), L5 IT_2 (43.0%), L6 IT_1 (8.0%)	L5 IT ALM Gkn1 Pcdh19 (87.0%), L5 IT ALM Cpa6 Gpr88 (12.0%)	2032	696.4	Fede	10	628.6	207.9	522.3	1441.548	y	
9	20171219_sample_1	20171219_slice_1	2017-12-19	sample 1	mouse_KKXUD	2017-10-19	61	5	PV-	9006	IT	L4/5 IT_2	1	L4/5 IT_2 (99.7%)	L5 IT ALM Lypd1 Gpr88 (84.0%), L5 IT ALM Tmem163 Dmrtb1 (16.0%)	2356	410.96	Fede	10	805.2	282.9	604.2	1667.592	y	
10	20171219_sample_2	20171219_slice_2	2017-12-19	sample 2 	mouse_KKXUD	2017-10-19	61	5	PV-	13666	IT	L5 IT_1	0.96	L5 IT_1 (96.0%)	L5 IT ALM Cpa6 Gpr88 (64.0%), L5 IT ALM Gkn1 Pcdh19 (36.0%)	2173	626.48	Fede	10	598.6	217.1	483.7	1335.012	y	
11	20171219_sample_3	20171219_slice_3	2017-12-19	sample 3	mouse_KKXUD	2017-10-19	61	5	PV-	9296	IT	L4/5 IT_2	0.99	L4/5 IT_2 (98.7%)	L5 IT ALM Lypd1 Gpr88 (69.0%), L5 IT VISp Hsd11b1 Endou (20.0%), L4 IT VISp Rspo1 (11.0%)	2247	397.84	Fede	10	717.4	270.8	560.8	1547.808	y	
12	20171219_sample_4	20171219_slice_4	2017-12-19	sample 4	mouse_KKXUD	2017-10-19	61	5	PV-	10742	PT	L5 PT_1	0.96	L5 PT_1 (96.1%)	L5 PT VISp Krt80 (99.0%)	2222	515.48	Fede	8	911.6	332.7	599.8	1655.448		
13	20171219_sample_6	20171219_slice_6	2017-12-19	sample 6	mouse_KKXUD	2017-10-19	61	5	PV-	12022	PT	L5 PT_2	0.68	L5 PT_2 (67.6%), L5 PT_3 (17.7%), L5 PT_4 (13.7%)	L5 PT VISp Lgr5 (99.0%)	1877	430.57	Fede	10	642.3	234.3	589.4	1626.744	y	
14	20171219_sample_7	20171219_slice_7	2017-12-19	sample 7	mouse_KKXUD	2017-10-19	61	5	PV-	11639	IT	L5 IT_1	0.63	L5 IT_1 (63.4%), L4/5 IT_2 (33.7%)	L5 IT ALM Lypd1 Gpr88 (43.0%), L5 IT ALM Cbln4 Fezf2 (18.0%), L5 IT ALM Tmem163 Dmrtb1 (13.0%)	1826	713.3	Fede	12	645.1	235	591.2	1631.712	y	
15	20171219_sample_8	20171219_slice_8	2017-12-19	sample 8	mouse_KKXUD	2017-10-19	61	5	PV-	15132	PT	L5 PT_1	0.9	L5 PT_1 (89.9%), L5 PT_4 (6.0%)	L5 PT VISp Krt80 (83.0%), L5 PT ALM Slco2a1 (9.0%), L5 PT ALM Hpgd (6.0%)	2159	1307.7	Fede	11	654.3	239.5	513	1415.88	y	
16	20180102_sample_1	20180102_slice_1	2018-01-02	sample 1	mouse_HXCVU	2017-10-19	75	5	PV-	12800	PT	L5 PT_1	1	L5 PT_1 (99.9%)	L5 PT ALM Slco2a1 (100.0%)	2417	543.91	Fede	13	690	251.2	523.8	1445.688	y	
17	20180102_sample_2	20180102_slice_2	2018-01-02	sample 2	mouse_HXCVU	2017-10-19	75	5	PV-	14502	IT	L5 IT_1	0.57	L5 IT_1 (56.7%), L5 IT_2 (19.6%), L5 IT_3 (15.3%)	L5 IT ALM Gkn1 Pcdh19 (79.0%), L5 IT ALM Cpa6 Gpr88 (10.0%), L5 IT VISp Col27a1 (8.0%)	1808	778.66	Fede	12	717.8	266.7	585.6	1616.256		
18	20180102_sample_3	20180102_slice_3	2018-01-02	sample 3	mouse_HXCVU	2017-10-19	75	5	PV-	11666	PT	L5 PT_1	0.99	L5 PT_1 (99.4%)	L5 PT ALM Slco2a1 (89.0%), L5 PT VISp Krt80 (11.0%)	2456	582.7	Fede	11	801.6	305.5	533.9	1473.564	y	
19	20180102_sample_4	20180102_slice_4	2018-01-02	sample 4	mouse_HXCVU	2017-10-19	75	5	PV-	15132	PT	L5 PT_1	0.92	L5 PT_1 (92.1%), L5 PT_2 (4.4%)	L5 PT VISp Krt80 (75.0%), L5 PT ALM Slco2a1 (25.0%)	2003	717.83	Fede	11	716	307.9	536.7	1481.292	y	
20	20180102_sample_5	20180102_slice_5	2018-01-02	sample 5	mouse_HXCVU	2017-10-19	75	5	PV-	14691	IT	L4/5 IT_2	0.86	L4/5 IT_2 (86.3%), L5 PT_2 (6.7%), L5 IT_1 (3.7%)	L5 IT ALM Lypd1 Gpr88 (75.0%), L5 IT ALM Tmem163 Dmrtb1 (15.0%), L5 IT VISp Hsd11b1 Endou (4.0%)	2053	524.61	Fede	12	589.5	218.8	557.6	1538.976	y	
21	20180103_sample_1	20180103_slice_1	2018-01-03	sample 1	mouse_BXLFB	2017-10-27	68	5	PV-	11189	PT	L5 PT_1	0.93	L5 PT_1 (92.6%), L5 PT_4 (4.9%)	L5 PT VISp Krt80 (98.0%)	2169	739.17	Fede	11	860.7	307.2	566.3	1562.988		
22	20180103_sample_2	20180103_slice_2	2018-01-03	sample 2	mouse_BXLFB	2017-10-27	68	5	PV-	15372	PT	L5 PT_1	0.95	L5 PT_1 (94.6%), L5 PT_4 (4.3%)	L5 PT ALM Slco2a1 (100.0%)	2148	736.07	Fede	10	1001.9	363.3	578.9	1597.764	y	
23	20180103_sample_3	20180103_slice_3	2018-01-03	sample 3	mouse_BXLFB	2017-10-27	68	5	PV-	9717	PT	L5 PT_1	0.99	L5 PT_1 (98.7%)	L5 PT ALM Slco2a1 (100.0%)	2083	368.84	Fede	10	1060.8	389.4	669.1	1846.716		
24	20180103_sample_4	20180103_slice_4	2018-01-03	sample 4	mouse_BXLFB	2017-10-27	68	5	PV-	4646	low quality					1548	116.17	Fede	6	1105.8	391.5	581.7	1605.492		
25	20180103_sample_5	20180103_slice_5	2018-01-03	sample 5	mouse_BXLFB	2017-10-27	68	5	PV-	10921	IT	L5 IT_1	0.98	L5 IT_1 (97.7%)	L5 IT ALM Cpa6 Gpr88 (49.0%), L5 IT ALM Gkn1 Pcdh19 (29.0%), L5 IT ALM Cbln4 Fezf2 (14.0%)	1751	734.5	Fede	8	858.3	291.3	550.6	1519.656		
26	20180103_sample_6	20180103_slice_6	2018-01-03	sample 6	mouse_BXLFB	2017-10-27	68	5	PV-	10108	IT	L5 IT_1	0.98	L5 IT_1 (98.0%)	L5 IT ALM Lypd1 Gpr88 (33.0%), L5 IT ALM Gkn1 Pcdh19 (30.0%), L5 IT ALM Cpa6 Gpr88 (21.0%)	2186	451.87	Fede	10	1061.2	393.1	659.8	1821.048		
27	20180103_sample_7	20180103_slice_7	2018-01-03	sample 7	mouse_BXLFB	2017-10-27	68	5	PV-	8732	IT	L5 IT_1	0.88	L5 IT_1 (87.9%), L4/5 IT_2 (5.0%), L2/3 IT_3 (2.1%)	L5 IT ALM Cbln4 Fezf2 (29.0%), L5 IT ALM Lypd1 Gpr88 (24.0%), L5 IT ALM Cpa6 Gpr88 (19.0%)	1639	538.97	Fede	12	571.6	213.8	552.8	1525.728	y	
28	20180103_sample_8	20180103_slice_8	2018-01-03	sample 8	mouse_BXLFB	2017-10-27	68	5	PV-	9882	IT	L5 IT_3	0.62	L5 IT_3 (61.6%), L5 IT_1 (22.6%), L5 IT_2 (9.7%)	L5 IT VISp Col27a1 (75.0%), L5 IT ALM Gkn1 Pcdh19 (12.0%), L5 IT ALM Cpa6 Gpr88 (8.0%)	1980	393.33	Fede	10	605.9	219.5	505.5	1395.18		
29	20180104_sample_1	20180104_slice_1	2018-01-04	sample 1	mouse_UALZV	2017-10-27	69	5	PV-	2657	IT	L5 IT_1	0.2	L5 IT_1 (20.4%), L4/5 IT_2 (12.7%), L6b Kcnip1 (9.9%)	L4 IT VISp Rspo1 (48.0%), L5 IT VISp Batf3 (20.0%), Astro Aqp4 (11.0%)	1544	56.29	Fede	7	625	245.7	512	1413.12		
30	20180104_sample_2	20180104_slice_2	2018-01-04	sample 2	mouse_UALZV	2017-10-27	69	5	PV-	7909	IT	L5 IT_1	0.53	L5 IT_1 (52.7%), L5 IT_3 (40.4%), L5 IT_2 (6.3%)	L5 IT VISp Col27a1 (47.0%), L5 IT ALM Cpa6 Gpr88 (26.0%), L5 IT ALM Cbln4 Fezf2 (17.0%)	2295	331.83	Fede	10	642.6	249.8	599.1	1653.516		
31	20180104_sample_3	20180104_slice_3	2018-01-04	sample 3	mouse_UALZV	2017-10-27	69	5	PV-	16845	IT	L4/5 IT_2	0.83	L4/5 IT_2 (83.1%), L5 IT_1 (15.9%)	L5 IT ALM Tmem163 Dmrtb1 (100.0%)	2360	1248.8	Fede	6	485.1	175.7	488	1346.88		
32	20180104_sample_4	20180104_slice_4	2018-01-04	sample 4	mouse_UALZV	2017-10-27	69	5	PV-	1292	low quality					1559	27.08	Fede	7	528.4	191.4	494.8	1365.648		
